nama_usaha,jumlah_menu,gambar_menu,apakah_menjual_minuman,apakah_menjual_makanan,jumlah_review,rating,rata-rata_harga_makanan_utama,Promo_ongkir(goplus),jam_buka,lokasi,rating_gmaps,Sosial_media,jumlah_ulasan_gmaps,menu_utama,durasi_oprasional,Kecamantan
Rotipap Bekasi Selatan,20,Foto_Sendiri,Ya,Ya,300,3.5,Low,Ya,10:00,Bekasi,3.7,Ya,300.0,Roti,12.0,Bekasi Selatan
Sate Tongseng Pak Min Solo,10,Foto_Sendiri,Ya,Ya,180,4.0,Low,Tidak,10:00,Bekasi,4.2,Tidak,180.0,Sate,11.0,Bekasi Utara
Djoko Bakery Pondok Gede,100,Foto_Sendiri,Ya,Ya,1500,4.4,Low,Tidak,7:00,Bekasi,4.5,Ya,1500.0,Roti,14.0,Pondok Gede
Hokkie Bakery & Cake,80,Foto_Sendiri,Ya,Ya,250,2.8,Low,Tidak,6:00,Bekasi,3.0,Ya,250.0,Roti,16.0,Mustika Jaya
Bakso 05 Surabaya,15,Foto_Sendiri,Ya,Ya,200,3.9,Low,Tidak,11:00,Jakarta,4.1,Tidak,200.0,Bakso,6.0,Kalideres
Khayal Coffee Studio,20,Foto_Sendiri,Ya,Ya,280,3.3,Low,Tidak,10:00,Jakarta,3.5,Ya,280.0,Kopi,12.0,Tebet
JEP Kopi,15,Foto_Sendiri,Ya,Ya,150,3.4,Low,Tidak,9:00,Jakarta,3.6,Ya,150.0,Kopi,8.0,Tebet
Coffee of Things,25,Foto_Sendiri,Ya,Ya,200,3.5,Low,Tidak,8:30,Jakarta,3.7,Ya,200.0,Kopi,9.0,Tebet
Sate Express Senayan,15,Foto_Sendiri,Ya,Ya,500,4.0,Medium,Tidak,0:00,Jakarta,4.2,Ya,500.0,Sate,24.0,Cengkareng
Chong Bak Kut Teh,30,Foto_Sendiri,Ya,Ya,400,3.9,Medium,Tidak,9:00,Jakarta,4.1,Ya,400.0,Sop,11.0,Cengkareng
Kafe Obama,40,Foto_Sendiri,Ya,Ya,600,1.8,Medium,Ya,18:00,Jakarta,2.1,Ya,600.0,Kopi,8.0,Kebayoran Baru
Warung Buka Terus,20,Foto_Sendiri,Ya,Ya,180,3.5,Low,Tidak,6:30,Jakarta,3.7,Tidak,180.0,Beragam,12.0,Kelapa Gading
Kafe Kincir,50,Foto_Sendiri,Ya,Ya,1200,3.9,Medium,Ya,8:00,Jakarta,4.1,Ya,1200.0,Kopi,16.0,Kelapa Gading
Wendy's PIM,40,Foto_Sendiri,Ya,Ya,3500,4.1,Medium,Ya,10:00,Jakarta,4.2,Ya,3500.0,Burger,12.0,Kebayoran Lama
Texas Fried Chicken,30,Foto_Sendiri,Ya,Ya,6500,3.7,Low,Ya,10:00,Jakarta,3.8,Ya,6500.0,Ayam,12.0,Kebayoran Lama
Tjanang Ice Cream,15,Foto_Sendiri,Ya,Tidak,450,3.5,Low,Tidak,0:00,Jakarta,3.8,Tidak,450.0,Es,24.0,Menteng
Restoran Upnormal Rawamangun,50,Foto_Sendiri,Ya,Ya,2800,3.1,Low,Ya,11:00,Jakarta,3.4,Ya,2800.0,Kopi,11.0,Pulo Gadung
Portable Kitchen & Lounge,45,Foto_Sendiri,Ya,Ya,550,2.8,High,Ya,10:00,Jakarta,3.1,Ya,550.0,Beragam,12.0,Pulo Gadung
McD Rawamangun,40,Foto_Sendiri,Ya,Ya,8000,4.4,Medium,Ya,0:00,Jakarta,4.5,Ya,8000.0,Ayam,24.0,Pulo Gadung
Warung Makan Beringin Sawo,25,Foto_Sendiri,Ya,Ya,100,3.0,Low,Tidak,8:00,Jakarta,3.2,Tidak,100.0,Beragam,12.0,Pulo Gadung
Pasar Palmerah (beberapa kios),10,Foto_Sendiri,Ya,Ya,500,2.9,Low,Tidak,6:00,Jakarta,3.1,Tidak,500.0,Beragam,8.0,Palmerah
Kafe Tenda Semanggi,100,Foto_Sendiri,Ya,Ya,3000,4.0,Low,Tidak,18:00,Jakarta,4.2,Tidak,3000.0,Beragam,8.0,Kebayoran Baru
Sate Taichan Senayan City,10,Foto_Sendiri,Ya,Ya,800,3.5,Low,Tidak,18:00,Jakarta,3.7,Ya,800.0,Sate,6.0,Tanah Abang
Warung remang-remang Rawalumbu,15,Foto_Sendiri,Ya,Ya,90,1.5,Low,Tidak,20:00,Bekasi,1.7,Tidak,90.0,Beragam,8.0,Rawalumbu
Martabak Bangka 71,20,Foto_Sendiri,Ya,Ya,300,3.7,Medium,Ya,16:00,Bekasi,3.9,Ya,300.0,Martabak,7.0,Bekasi Timur
Seblak Jeletet Pademangan 4,20,Template,Ya,Ya,600,3.8,Low,Tidak,12:00,Bekasi,4.0,Ya,600.0,Pasta,10.0,Bekasi Barat
Bakso Sanguan Antapani,10,Foto_Sendiri,Ya,Ya,150,3.5,Low,Tidak,11:00,Bekasi,3.7,Ya,150.0,Bakso,10.0,Mustikajaya
Ledifia Bakery,40,Foto_Sendiri,Ya,Ya,50,3.0,Low,Tidak,8:00,Bekasi,3.2,Tidak,50.0,Roti,12.0,Bekasi
Maher,15,Foto_Sendiri,Ya,Ya,40,3.1,Low,Tidak,9:00,Bekasi,3.3,Tidak,40.0,Beragam,11.0,Jatisampurna
Dapur Teh Mya,25,Foto_Sendiri,Ya,Ya,120,3.4,Low,Ya,9:00,Bekasi,3.6,Ya,120.0,Beragam,11.0,Bekasi Selatan
Uni Eka,20,Foto_Sendiri,Ya,Ya,70,3.2,Low,Tidak,8:00,Bekasi,3.4,Tidak,70.0,Beragam,11.0,Bekasi Utara
AyNau Home,15,Foto_Sendiri,Ya,Ya,60,3.3,Low,Tidak,9:00,Bekasi,3.5,Tidak,60.0,Beragam,11.0,Bekasi Utara
Efea Food,20,Foto_Sendiri,Ya,Ya,80,3.2,Low,Tidak,9:00,Bekasi,3.4,Tidak,80.0,Es,12.0,Bekasi Utara
IceTehtics,10,Foto_Sendiri,Ya,Tidak,150,3.6,Low,Ya,10:00,Bekasi,3.8,Ya,150.0,Es,11.0,Babelan
SKY Susu Kyurma,10,Foto_Sendiri,Ya,Tidak,100,3.7,Low,Tidak,8:00,Bekasi,3.9,Ya,100.0,Es,10.0,Jatiasih
Inofishfood,20,Foto_Sendiri,Ya,Ya,130,3.5,Low,Tidak,10:00,Bekasi,3.7,Ya,130.0,Ikan,10.0,Bekasi Utara
Kafe Sahuta,30,Foto_Sendiri,Ya,Ya,200,2.5,Low,Tidak,16:00,Depok,2.8,Ya,200.0,Kopi,7.0,Beji
D'Sultan Café,35,Foto_Sendiri,Ya,Ya,300,2.4,Low,Ya,17:00,Bekasi,2.7,Ya,300.0,Kopi,8.0,Cikarang Utara
Two Stories Bogor,40,Foto_Sendiri,Ya,Ya,1500,3.8,Medium,Ya,11:00,Bogor,4.0,Ya,1500.0,Kopi,10.0,Bogor Timur
Take Coffee Puribeta,25,Foto_Sendiri,Ya,Ya,400,2.9,Low,Tidak,10:00,Tangerang,3.2,Ya,400.0,Kopi,11.0,Larangan
Amigos Resto Kemang,50,Foto_Sendiri,Ya,Ya,2500,4.1,High,Tidak,11:00,Jakarta,4.2,Ya,2500.0,Beragam,12.0,Mampang Prapatan
Dudung Maman Kopi Kemang,20,Foto_Sendiri,Ya,Ya,500,3.9,Low,Tidak,10:00,Jakarta,4.0,Ya,500.0,Kopi,12.0,Mampang Prapatan
The Albert Galaxy,30,Foto_Sendiri,Ya,Ya,350,3.0,Medium,Ya,16:00,Bekasi,3.3,Ya,350.0,Kopi,8.0,Bekasi Selatan
Warung Joglo Si Embah 2,30,Foto_Sendiri,Ya,Ya,100,3.5,Low,Tidak,10:00,Bekasi,3.7,Tidak,100.0,Nasi,11.0,Bekasi Selatan
Joglo Mbarep Resto & Coffee,35,Foto_Sendiri,Ya,Ya,150,3.6,Medium,Tidak,10:00,Bekasi,3.8,Ya,150.0,Nasi,12.0,Bekasi Selatan
Warung Leko Pondok Gede,30,Foto_Sendiri,Ya,Ya,1200,4.2,Medium,Tidak,10:00,Bekasi,4.3,Ya,1200.0,Iga,12.0,Pondok Gede
Martabak Ronny,15,Foto_Sendiri,Ya,Ya,900,4.3,Medium,Ya,18:00,Bekasi,4.4,Ya,900.0,Martabak,5.0,Bekasi Selatan
Kai Bai Bo,50,Foto_Sendiri,Ya,Ya,700,3.7,Low,Tidak,8:00,Jakarta,3.9,Ya,700.0,Roti,11.0,Kelapa Gading
Bakmi Ayam 57,10,Template,Ya,Ya,100,3.5,Low,Tidak,8:00,Jakarta,3.7,Tidak,100.0,Mie,7.0,Kelapa Gading
Bakmi Ono,15,Foto_Sendiri,Ya,Ya,900,3.8,Low,Tidak,6:30,Jakarta,4.0,Ya,900.0,Mie,7.0,Kelapa Gading
Bakmi Asui,10,Foto_Sendiri,Ya,Ya,1500,4.0,Low,Tidak,7:00,Jakarta,4.2,Ya,1500.0,Mie,6.0,Grogol Petamburan
Bakmi Ayam Lili 166,15,Foto_Sendiri,Ya,Ya,1200,4.1,Low,Tidak,10:00,Jakarta,4.3,Ya,1200.0,Mie,12.0,Kebon Jeruk
Kopi Kreta,20,Foto_Sendiri,Ya,Ya,300,4.0,Low,Tidak,11:00,Jakarta,4.2,Ya,300.0,Kopi,12.0,Grogol Petamburan
Pempek 71 Agus Salim,15,Foto_Sendiri,Ya,Ya,250,3.7,Low,Ya,14:30,Bekasi,3.8,Ya,250.0,Pempek,7.0,Bekasi Timur
Global Bakery Jatiasih,60,Foto_Sendiri,Ya,Ya,400,3.8,Low,Tidak,6:00,Bekasi,3.9,Ya,400.0,Roti,15.0,Jatiasih
Warung Pancong Balap,10,Foto_Sendiri,Ya,Ya,800,4.0,Low,Ya,18:00,Bekasi,4.2,Ya,800.0,Roti,8.0,Bekasi Selatan
Warung Kue Pancong Balap,10,Foto_Sendiri,Ya,Ya,1200,4.1,Low,Ya,18:00,Bekasi,4.3,Ya,1200.0,Roti,9.0,Bekasi Selatan
Fitri Sea Food,20,Foto_Sendiri,Ya,Ya,400,3.9,Medium,Tidak,17:00,Bekasi,4.1,Ya,400.0,Ikan,6.0,Bekasi Timur
Sate Anda Kali Abang,10,Foto_Sendiri,Ya,Ya,900,4.2,Low,Tidak,10:00,Bekasi,4.3,Ya,900.0,Sate,11.0,Bekasi Utara
Tsamara Resto,50,Foto_Sendiri,Ya,Ya,700,4.0,Medium,Tidak,10:00,Bekasi,4.2,Ya,700.0,Beragam,8.0,Jatisampurna
Kemang Bistro Indonesian Food,35,Foto_Sendiri,Ya,Ya,450,3.8,Medium,Tidak,11:00,Bekasi,4.0,Ya,450.0,Beragam,9.0,Rawalumbu
Sate Kiloan PSK Jatiasih,15,Foto_Sendiri,Ya,Ya,600,3.9,High,Tidak,10:00,Bekasi,4.1,Ya,600.0,Sate,12.0,Jatiasih
RM Lestari Medan Satria,30,Foto_Sendiri,Ya,Ya,250,3.7,Low,Tidak,10:00,Bekasi,3.9,Tidak,250.0,Beragam,11.0,Medan Satria
Warung Sate Pak Markih,10,Foto_Sendiri,Ya,Ya,200,3.8,Low,Tidak,10:00,Bekasi,4.0,Tidak,200.0,Sate,7.0,Pondok Gede
RM Sate Barokah,20,Foto_Sendiri,Ya,Ya,500,3.9,Low,Tidak,8:00,Bekasi,4.1,Ya,500.0,Sate,14.0,Bekasi Barat
Sate Kambing Moro Seneng,15,Foto_Sendiri,Ya,Ya,700,4.1,Medium,Tidak,10:00,Bekasi,4.3,Ya,700.0,Sate,12.0,Bekasi Barat
Seblak Teh Betty,25,Foto_Sendiri,Ya,Ya,400,3.8,Low,Tidak,10:00,Bekasi,4.0,Ya,400.0,Pasta,36.0,Rawalumbu
Bakso Agung Harapan Indah,15,Foto_Sendiri,Ya,Ya,500,3.9,Low,Tidak,10:00,Bekasi,4.1,Ya,500.0,Bakso,48.0,Medan Satria
Bakso Den Harapan Indah,10,Foto_Sendiri,Ya,Ya,150,3.5,Low,Tidak,10:00,Bekasi,3.7,Tidak,150.0,Bakso,24.0,Medan Satria
Rumah Makan Pondok Gurih,25,Foto_Sendiri,Ya,Ya,1500,4.3,Medium,Ya,10:00,Pekanbaru,4.3,Ya,950.0,Ikan,12.0,Sail
Warung Nasi Padang Sederhana,18,Template,Ya,Ya,890,4.1,Low,Tidak,8:00,Pekanbaru,4.1,Tidak,670.0,Daging,13.0,Sukajadi
Kedai Kopi Tradisional Riau,12,Foto_Sendiri,Ya,Tidak,720,4.0,Medium,Ya,7:00,Pekanbaru,4.0,Tidak,540.0,Kopi,16.0,Senapelan
Restoran Sate Padang Ajo Ramon,15,Foto_Sendiri,Ya,Ya,1340,4.4,Medium,Ya,11:00,Pekanbaru,4.4,Tidak,980.0,Sate,11.0,Marpoyan Damai
Rumah Makan Minang Raya,30,Template,Ya,Ya,2030,4.5,Low,Tidak,9:00,Pekanbaru,4.5,Tidak,1560.0,Ikan,12.0,Lima Puluh
Warung Mie Ayam Berkah,8,Foto_Sendiri,Ya,Ya,450,3.9,High,Ya,9:00,Pekanbaru,3.9,Ya,320.0,Mie,11.0,Marpoyan Damai
Kedai Seafood Pantai Riau,22,Foto_Sendiri,Ya,Ya,1670,4.2,Medium,Ya,16:00,Pekanbaru,4.2,Ya,1230.0,Ikan,7.0,Tampan
Restoran Ayam Penyet Surabaya,16,Foto_Sendiri,Ya,Ya,910,4.0,Medium,Tidak,10:00,Pekanbaru,4.0,Ya,670.0,Ayam,11.0,Panam
Warung Soto Betawi Jakarta,10,Foto_Sendiri,Ya,Ya,780,4.1,Low,Ya,7:00,Pekanbaru,4.1,Tidak,580.0,Soto,8.0,Sukajadi
Kedai Bakso Malang Arema,12,Template,Ya,Ya,1150,4.3,High,Ya,8:00,Pekanbaru,4.3,Ya,870.0,Bakso,14.0,Marpoyan Damai
Rumah Makan Gulai Kambing,20,Foto_Sendiri,Ya,Ya,890,4.2,Low,Tidak,11:00,Pekanbaru,4.2,Tidak,650.0,Daging,11.0,Senapelan
Warung Nasi Uduk Betawi,14,Foto_Sendiri,Ya,Ya,670,3.8,Low,Ya,6:00,Pekanbaru,3.8,Tidak,450.0,Nasi,8.0,Lima Puluh
Kedai Gado-Gado Bonbin,9,Foto_Sendiri,Ya,Ya,520,4.0,High,Tidak,8:00,Pekanbaru,4.0,Tidak,380.0,Sayuran,9.0,Tampan
Restoran Steak & Grill Western,25,Foto_Sendiri,Ya,Ya,1560,4.4,Low,Ya,15:00,Pekanbaru,4.4,Ya,1120.0,Steak,8.0,Sukajadi
Warung Pecel Lele Laris,11,Foto_Sendiri,Ya,Ya,940,4.1,Low,Ya,16:00,Pekanbaru,4.1,Tidak,710.0,Sayuran,7.0,Sail
Kedai Es Campur Segar,8,Foto_Sendiri,Ya,Tidak,430,3.9,High,Tidak,13:00,Pekanbaru,3.9,Ya,310.0,Es,9.0,Senapelan
Rumah Makan Iga Bakar Mas Bro,18,Foto_Sendiri,Ya,Ya,1280,4.3,Medium,Ya,17:00,Pekanbaru,4.3,Ya,980.0,Iga,7.0,Lima Puluh
Warung Rawon Setan,13,Foto_Sendiri,Ya,Ya,760,4.2,Low,Tidak,10:00,Pekanbaru,4.2,Tidak,540.0,Sop,11.0,Marpoyan Damai
Kedai Bubur Ayam Barokah,7,Foto_Sendiri,Ya,Ya,580,4.0,High,Ya,6:00,Pekanbaru,4.0,Tidak,420.0,Bubur,6.0,Tampan
Restoran Pizza Corner,20,Foto_Sendiri,Ya,Ya,1450,4.1,Medium,Ya,11:00,Pekanbaru,4.1,Ya,1080.0,Pizza,12.0,Tampan
Warung Martabak Manis Enak,12,Foto_Sendiri,Ya,Ya,870,4.2,Medium,Ya,18:00,Pekanbaru,4.2,Ya,650.0,Martabak,8.0,Senapelan
Kedai Nasi Goreng Spesial,15,Foto_Sendiri,Ya,Ya,1020,4.0,Medium,Tidak,17:00,Pekanbaru,4.0,Tidak,780.0,Nasi,9.0,Marpoyan Damai
Rumah Makan Bebek Goreng,19,Foto_Sendiri,Ya,Ya,1190,4.4,Medium,Ya,11:00,Pekanbaru,4.4,Tidak,890.0,Bebek,10.0,Sukajadi
Warung Coto Makassar,16,Foto_Sendiri,Ya,Ya,930,4.1,Low,Tidak,8:00,Pekanbaru,4.1,Tidak,670.0,Soto,12.0,Senapelan
Kedai Siomay Bandung,9,Foto_Sendiri,Ya,Ya,640,3.9,High,Ya,9:00,Pekanbaru,3.9,Tidak,480.0,Batagor,9.0,Lima Puluh
Restoran Chinese Food Dragon,28,Foto_Sendiri,Ya,Ya,1780,4.3,Low,Ya,11:00,Pekanbaru,4.3,Ya,1340.0,Beragam,11.0,Sukajadi
Warung Kupat Tahu Gempol,11,Foto_Sendiri,Ya,Ya,560,4.0,Medium,Tidak,7:00,Pekanbaru,4.0,Tidak,410.0,Tahu,9.0,Marpoyan Damai
Kedai Bakmi Ayam Pak Kumis,13,Template,Ya,Ya,810,4.2,Medium,Ya,9:00,Pekanbaru,4.2,Tidak,620.0,Mie,12.0,Panam
Rumah Makan Pempek Palembang,17,Foto_Sendiri,Ya,Ya,1070,4.1,Low,Tidak,10:00,Pekanbaru,4.1,Tidak,780.0,Pempek,11.0,Tampan
Warung Tahu Bulat Crispy,8,Foto_Sendiri,Ya,Ya,390,3.8,Low,Ya,15:00,Pekanbaru,3.8,Tidak,280.0,Tahu,7.0,Tampan
Kedai Kerak Telor Betawi,6,Foto_Sendiri,Ya,Ya,470,4.0,High,Tidak,17:00,Pekanbaru,4.0,Tidak,350.0,Gorengan,6.0,Sail
Restoran Jepang Sakura,24,Foto_Sendiri,Ya,Ya,1670,4.5,Medium,Ya,11:00,Pekanbaru,4.5,Ya,1250.0,Ikan,11.0,Sukajadi
Warung Gudeg Yogya,14,Foto_Sendiri,Ya,Ya,720,4.1,Low,Ya,8:00,Pekanbaru,4.1,Ya,530.0,Nasi,12.0,Marpoyan Damai
Kedai Cendol Dawet Segar,10,Foto_Sendiri,Ya,Tidak,580,3.9,High,Tidak,12:00,Pekanbaru,3.9,Tidak,420.0,Es,9.0,Tampan
Rumah Makan Ikan Bakar Cianjur,21,Foto_Sendiri,Ya,Ya,1340,4.3,Medium,Ya,16:00,Pekanbaru,4.3,Tidak,1010.0,Ikan,7.0,Senapelan
Warung Nasi Krawu Gresik,12,Foto_Sendiri,Ya,Ya,650,4.0,Low,Tidak,7:00,Pekanbaru,4.0,Tidak,480.0,Nasi,8.0,Lima Puluh
Kedai Bakso Tahu Malang,15,Foto_Sendiri,Ya,Ya,890,4.2,High,Ya,8:00,Pekanbaru,4.2,Tidak,670.0,Bakso,13.0,Marpoyan Damai
Restoran Korea BBQ Seoul,22,Foto_Sendiri,Ya,Ya,1560,4.4,Low,Ya,17:00,Pekanbaru,4.4,Ya,1180.0,Daging,6.0,Sukajadi
Warung Lotek Gado Jakarta,9,Foto_Sendiri,Ya,Ya,540,3.9,Low,Ya,8:00,Pekanbaru,3.9,Tidak,390.0,Sayuran,9.0,Senapelan
Kedai Mie Pangsit Bogor,11,Foto_Sendiri,Ya,Ya,760,4.1,Medium,Tidak,9:00,Pekanbaru,4.1,Ya,570.0,Mie,11.0,Lima Puluh
Rumah Makan Tengkleng Solo,18,Foto_Sendiri,Ya,Ya,980,4.2,Low,Ya,11:00,Pekanbaru,4.2,Tidak,730.0,Daging,10.0,Marpoyan Damai
Warung Es Teler 77,13,Foto_Sendiri,Ya,Ya,1250,4.0,Medium,Ya,11:00,Pekanbaru,4.0,Ya,940.0,Es,11.0,Panam
Kedai Sate Ayam Madura,10,Foto_Sendiri,Ya,Ya,670,4.1,Medium,Tidak,16:00,Pekanbaru,4.1,Tidak,510.0,Sate,7.0,Tampan
Restoran Padang Sederhana,26,Template,Ya,Ya,1890,4.3,Low,Ya,8:00,Pekanbaru,4.3,Tidak,1420.0,Nasi,13.0,Senapelan
Warung Pecel Pincuk Madiun,8,Template,Ya,Ya,450,3.8,Low,Ya,7:00,Pekanbaru,3.8,Tidak,340.0,Sayuran,8.0,Tampan
Kedai Cilok Goang Bandung,7,Foto_Sendiri,Ya,Ya,520,3.9,Medium,Tidak,15:00,Pekanbaru,3.9,Tidak,380.0,Batagor,7.0,Sail
Rumah Makan Ayam Geprek,16,Foto_Sendiri,Ya,Ya,1120,4.2,Low,Ya,10:00,Pekanbaru,4.2,Ya,840.0,Ayam,12.0,Tampan
Warung Bakmi Jawa Pak Karso,12,Foto_Sendiri,Ya,Ya,730,4.0,Low,Tidak,8:00,Pekanbaru,4.0,Tidak,550.0,Mie,11.0,Marpoyan Damai
Kedai Lumpia Semarang,9,Foto_Sendiri,Ya,Ya,610,4.1,High,Ya,9:00,Pekanbaru,4.1,Tidak,460.0,Gorengan,9.0,Senapelan
Restoran Seafood Bahari,23,Foto_Sendiri,Ya,Ya,1780,4.4,Medium,Ya,17:00,Pekanbaru,4.4,Ya,1340.0,Beragam,6.0,Lima Puluh
Warung Nasi Campur Bali,17,Foto_Sendiri,Ya,Ya,950,4.1,Low,Tidak,9:00,Pekanbaru,4.1,Tidak,710.0,Nasi,12.0,Marpoyan Damai
Kedai Teh Tarik Malaysia,11,Foto_Sendiri,Ya,Ya,840,4.0,High,Ya,14:00,Pekanbaru,4.0,Tidak,630.0,Es,9.0,Sukajadi
Rumah Makan Ayam Betutu,19,Template,Ya,Ya,1070,4.3,High,Ya,11:00,Pekanbaru,4.3,Tidak,810.0,Ayam,11.0,Sukajadi
Warung Sop Buntut Jakarta,14,Foto_Sendiri,Ya,Ya,890,4.2,Low,Tidak,11:00,Pekanbaru,4.2,Tidak,670.0,Sop,10.0,Senapelan
Kedai Rujak Cingur Surabaya,8,Foto_Sendiri,Ya,Ya,560,3.9,High,Ya,8:00,Pekanbaru,3.9,Tidak,420.0,Es,9.0,Lima Puluh
Restoran India Curry House,20,Foto_Sendiri,Ya,Ya,1430,4.3,Low,Ya,11:00,Pekanbaru,4.3,Ya,1080.0,Ayam,11.0,Marpoyan Damai
Warung Tahu Gejrot Cirebon,6,Foto_Sendiri,Ya,Ya,380,3.8,Low,Tidak,15:00,Pekanbaru,3.8,Tidak,290.0,Tahu,7.0,Panam
Kedai Pisang Goreng Pontianak,9,Foto_Sendiri,Ya,Ya,640,4.0,Medium,Ya,14:00,Pekanbaru,4.0,Ya,480.0,Roti,7.0,Tampan
Rumah Makan Ayam Taliwang,16,Foto_Sendiri,Ya,Ya,1240,4.2,Low,Ya,16:00,Pekanbaru,4.2,Tidak,940.0,Ayam,7.0,Senapelan
Warung Ketoprak Solo,11,Foto_Sendiri,Ya,Ya,710,4.1,Low,Tidak,7:00,Pekanbaru,4.1,Tidak,530.0,Sayuran,9.0,Tampan
Kedai Bakwan Malang,7,Foto_Sendiri,Ya,Ya,490,3.9,High,Ya,8:00,Pekanbaru,3.9,Tidak,360.0,Bakso,10.0,Sail
Restoran Thai Food Bangkok,22,Foto_Sendiri,Ya,Ya,1560,4.4,Medium,Ya,11:00,Pekanbaru,4.4,Ya,1170.0,Beragam,11.0,Tampan
Warung Opor Ayam Jawa,13,Foto_Sendiri,Ya,Ya,780,4.0,Low,Tidak,9:00,Pekanbaru,4.0,Tidak,580.0,Ayam,11.0,Marpoyan Damai
Kedai Klepon Betawi,5,Foto_Sendiri,Ya,Ya,340,3.8,High,Ya,13:00,Pekanbaru,3.8,Tidak,260.0,Roti,7.0,Senapelan
Rumah Makan Sop Kambing,18,Foto_Sendiri,Ya,Ya,1150,4.3,Medium,Ya,17:00,Pekanbaru,4.3,Tidak,870.0,Sop,7.0,Lima Puluh
Warung Nasi Liwet Solo,15,Foto_Sendiri,Ya,Ya,920,4.1,Low,Tidak,10:00,Pekanbaru,4.1,Tidak,690.0,Nasi,11.0,Marpoyan Damai
Kedai Dawet Ayu Banjarnegara,8,Foto_Sendiri,Ya,Tidak,570,3.9,High,Ya,12:00,Pekanbaru,3.9,Tidak,430.0,Es,9.0,Sukajadi
Restoran Makanan Laut Mutiara,25,Foto_Sendiri,Ya,Ya,1890,4.5,Medium,Ya,16:00,Pekanbaru,4.5,Tidak,1420.0,Ikan,7.0,Sukajadi
Warung Empal Gentong Cirebon,12,Foto_Sendiri,Ya,Ya,830,4.2,Low,Ya,8:00,Pekanbaru,4.2,Ya,620.0,Daging,12.0,Senapelan
Kedai Serabi Solo,10,Foto_Sendiri,Ya,Ya,650,4.0,High,Tidak,14:00,Pekanbaru,4.0,Tidak,480.0,Roti,8.0,Lima Puluh
Rumah Makan Bebek Bakar,17,Foto_Sendiri,Ya,Ya,1080,4.2,Low,Ya,16:00,Pekanbaru,4.2,Tidak,810.0,Bebek,7.0,Marpoyan Damai
Warung Gado-Gado Surabaya,11,Foto_Sendiri,Ya,Ya,740,4.1,Low,Ya,8:00,Pekanbaru,4.1,Tidak,560.0,Sayuran,9.0,Panam
Kedai Wedang Ronde Surabaya,6,Foto_Sendiri,Ya,Tidak,410,3.8,High,Tidak,18:00,Pekanbaru,3.8,Tidak,310.0,Wedang Ronde Hangat,6.0,Tampan
Restoran Vietnam Pho Saigon,19,Foto_Sendiri,Ya,Ya,1340,4.3,Low,Ya,10:00,Pekanbaru,4.3,Ya,1010.0,Sop,12.0,Senapelan
Warung Sate Klathak Jogja,13,Foto_Sendiri,Ya,Ya,870,4.1,Medium,Tidak,16:00,Pekanbaru,4.1,Tidak,650.0,Daging,7.0,Tampan
Kedai Batagor Bandung,9,Foto_Sendiri,Ya,Ya,630,4.0,Low,Ya,9:00,Pekanbaru,4.0,Tidak,470.0,Batagor,9.0,Sail
Rumah Makan Gulai Kepala Ikan,21,Template,Ya,Ya,1450,4.4,High,Ya,11:00,Pekanbaru,4.4,Tidak,1090.0,Ikan,11.0,Tampan
Warung Nasi Pecel Madiun,14,Foto_Sendiri,Ya,Ya,790,4.1,Low,Tidak,7:00,Pekanbaru,4.1,Tidak,590.0,Sayuran,9.0,Marpoyan Damai
Kedai Semur Jengkol Betawi,8,Foto_Sendiri,Ya,Ya,520,3.9,Medium,Ya,11:00,Pekanbaru,3.9,Tidak,390.0,Sayuran,9.0,Senapelan
Restoran Fusion Modern Taste,26,Foto_Sendiri,Ya,Ya,1670,4.5,High,Ya,17:00,Pekanbaru,4.5,Ya,1250.0,Daging,6.0,Lima Puluh
Warung Cah Kangkung Tauco,10,Foto_Sendiri,Ya,Ya,680,4.0,Low,Ya,10:00,Pekanbaru,4.0,Tidak,510.0,Sayuran,11.0,Marpoyan Damai
