nama_usaha,jumlah_menu,gambar_menu,apakah_menjual_minuman,apakah_menjual_makanan,jumlah_review,rating,rata-rata_harga_makanan_utama,Promo_ongkir(goplus),jam_buka,lokasi,rating_gmaps,Sosial_media,jumlah_ulasan_gmaps,menu_utama,durasi_oprasional,Kecamantan
Surabi Cihapit,12,Foto_Sendiri,Ya,Ya,1000,4.5,Low,Tidak,15:00,Bandung,4.4,Tidak Ada,2000.0,Roti,8.0,Bandung Wetan
Nasi Kuning Pasir Koja,8,Foto_Sendiri,Tidak,Ya,600,4.9,Low,Tidak,6:00,Bandung,4.8,Tidak Ada,950.0,Nasi,4.0,Astanaanyar
Sate Maulana Yusuf,7,Foto_Sendiri,Ya,Ya,1100,4.6,High,Tidak,10:00,Bandung,4.5,Tidak Ada,3100.0,Sate,12.0,Bandung Wetan
Bakso Boedjangan,30,Foto_Sendiri,Ya,Ya,3100,4.4,Medium,Ya,10:00,Bandung,4.3,Ya,11000.0,Bakso,12.0,Coblong
Rumah Makan Legoh,35,Foto_Sendiri,Ya,Ya,780,4.5,Medium,Ya,9:00,Bandung,4.4,Ya,1500.0,Nasi,12.0,Bandung Wetan
Saung Gawir,40,Foto_Sendiri,Ya,Ya,550,4.6,Medium,Tidak,10:00,Bandung,4.5,Ya,1200.0,Ikan,10.0,Cibeunying Kaler
Dapur Dahapati,20,Foto_Sendiri,Ya,Ya,990,4.8,High,Tidak,10:00,Bandung,4.7,Tidak Ada,2600.0,Sop,10.0,Sukajadi
Roemah Nenek,50,Foto_Sendiri,Ya,Ya,1050,4.4,High,Ya,10:00,Bandung,4.4,Ya,2800.0,Beragam,12.0,Cibeunying Kidul
Kalpa Tree Dine & Chill,60,Foto_Sendiri,Ya,Ya,2400,4.5,High,Ya,10:00,Bandung,4.4,Ya,11500.0,Pizza,12.0,Cidadap
Cakue Odading Gardujati,4,Foto_Sendiri,Tidak,Ya,850,4.7,Low,Tidak,7:00,Bandung,4.6,Tidak Ada,1700.0,Roti,11.0,Andir
Tizi's Restaurant,55,Foto_Sendiri,Ya,Ya,760,4.5,Very High,Tidak,10:00,Bandung,4.5,Ya,2500.0,Roti,12.0,Coblong
Cuanki Serayu,3,Foto_Sendiri,Ya,Ya,2100,4.5,Low,Tidak,11:00,Bandung,4.4,Tidak Ada,5800.0,Cuanki,8.0,Bandung Wetan
Cafe Bali,45,Foto_Sendiri,Ya,Ya,920,4.4,High,Ya,10:00,Bandung,4.4,Ya,3400.0,Nasi,13.0,Sumur Bandung
Bakmi GM Cihampelas Walk,50,Foto_Sendiri,Ya,Ya,1300,4.6,Medium,Ya,10:00,Bandung,4.6,Ya,4100.0,Mie,12.0,Coblong
Pizza Hut Restoran,65,Foto_Sendiri,Ya,Ya,1500,4.5,Very High,Ya,10:00,Bandung,4.5,Ya,4800.0,Pizza,13.0,Sukajadi
Warung Talaga,40,Foto_Sendiri,Ya,Ya,650,4.3,Medium,Ya,10:00,Bandung,4.2,Ya,1500.0,Beragam,12.0,Sukajadi
Upnormal Coffee Roasters,70,Foto_Sendiri,Ya,Ya,2800,4.2,Low,Ya,9:00,Bandung,4.1,Ya,8500.0,Mie,15.0,Coblong
Donwoori,35,Foto_Sendiri,Ya,Ya,1400,4.7,Very High,Ya,11:30,Bandung,4.6,Ya,3300.0,Steak,10.0,Coblong
Cekeran Midun,20,Foto_Sendiri,Tidak,Ya,900,4.6,Low,Ya,16:00,Bandung,4.5,Ya,2200.0,Ceker,8.0,Coblong
Sate Kardjan,10,Foto_Sendiri,Ya,Ya,700,4.5,Medium,Tidak,10:00,Bandung,4.4,Tidak Ada,1400.0,Sate,11.0,Cicendo
Warkop Modjok,30,Foto_Sendiri,Ya,Ya,1150,4.5,Medium,Ya,10:00,Bandung,4.5,Ya,3800.0,Kopi,14.0,Kiaracondong
Street Grill & Friends,45,Foto_Sendiri,Ya,Ya,800,4.6,High,Ya,12:00,Bandung,4.5,Ya,2000.0,Steak,10.0,Bandung Wetan
Mimiti Coffee & Space,25,Foto_Sendiri,Ya,Ya,980,4.6,Medium,Ya,8:00,Bandung,4.6,Ya,3100.0,Kopi,13.0,Sukajadi
Floating Market Lembang,100,Foto_Sendiri,Ya,Ya,5000,4.4,Medium,Tidak,9:00,Bandung,4.4,Ya,75000.0,Tahu,10.0,Lembang
Bumi Sangkuriang,50,Foto_Sendiri,Ya,Ya,600,4.5,Very High,Tidak,10:00,Bandung,4.5,Ya,1900.0,Sop,11.0,Cidadap
Yoghurt Cisangkuy,15,Foto_Sendiri,Ya,Ya,1800,4.4,Medium,Tidak,8:00,Bandung,4.4,Tidak Ada,6300.0,Es,12.5,Bandung Wetan
Baso Malang Karapitan,25,Foto_Sendiri,Ya,Ya,950,4.3,Medium,Ya,10:00,Bandung,4.3,Ya,2400.0,Bakso,12.0,Batununggal
Martabak Nikmat Andir,10,Foto_Sendiri,Tidak,Ya,1600,4.6,High,TIdak,16:00,Bandung,4.5,Ya,4300.0,Martabak,6.1,Andir
Rumah Makan Ampera,45,Foto_Sendiri,Ya,Ya,1100,4.4,Medium,TIdak,9:00,Bandung,4.3,Tidak Ada,2100.0,Ayam,11.1,Cicendo
Sushi Tei,80,Foto_Sendiri,Ya,Ya,2200,4.7,Very High,Ya,10:00,Bandung,4.6,Ya,8800.0,Ikan,12.0,Sumur Bandung
Ayam Goreng Suharti,20,Foto_Sendiri,Ya,Ya,800,4.5,High,Tidak,10:00,Bandung,4.4,Tidak Ada,1800.0,Ayam,10.1,Sukajadi
Braga Permai,75,Foto_Sendiri,Ya,Ya,1500,4.4,Very High,Tidak,9:00,Bandung,4.4,Ya,7100.0,Daging,14.0,Sumur Bandung
The Stone Cafe,55,Foto_Sendiri,Ya,Ya,1350,4.3,Very High,TIdak,11:00,Bandung,4.3,Ya,5600.0,Steak,12.0,Cibeunying Kaler
Roti John Surabaya,8,Foto_Sendiri,Tidak,Ya,500,4.8,Medium,Ya,15:00,Bandung,4.7,Ya,900.0,Roti,7.0,Antapani
Feast by Kokikutv,40,Foto_Sendiri,Ya,Ya,650,4.9,High,Tidak,10:00,Bandung,4.8,Ya,1200.0,Ayam,11.0,Dago
Sate & Gule Harris,12,Foto_Sendiri,Ya,Ya,900,4.7,High,Tidak,9:00,Bandung,4.6,Tidak Ada,2300.0,Sate,9.0,Sumur Bandung
Laksana,50,Foto_Sendiri,Ya,Ya,1200,4.5,Medium,Tidak,8:00,Bandung,4.4,Tidak Ada,3000.0,Ayam,12.0,Batununggal
